Amount,AmountOfSecurityOwned,CIK,OwnershipForm,Price,SecuritiesAcquirednDisposed,TitleOfSecurity,TransactionCode,TransactionDate
"3,853","17,793.08",1702770,D,147.47,D,Common Stock,F,12/19/2019
,3/8/2020,1491769,3/8/2020,,132.5,Restricted Stock Units,,0
22.8621,"13,027.68",1699485,D,43.758,A,Common Stock,A,12/20/2019
,3/7/2021,1491769,3/7/2021,,131.49,Restricted Stock Units,,0
"1,000","29,640",1678229,D,8.57,A,GAIA Class A Common Stock,P,12/20/2019
,4/4/2022,1491769,4/4/2022,,157.15,Restricted Stock Units,,0
"15,942","184,057",1389170,D,0,D,Common Stock,G,12/2/2019
"700,000","212,316",1553729,D,85.697,D,Class A Common Stock,S,12/19/2019
"79,830","710,450",1633651,D,18.06,D,Class A Shares,F,12/20/2019
,"103,983",1633651,I,,,Class B Shares,,
"125,000","291,667",1727357,D,8,A,Common stock,P,12/18/2019
,"4,111,272.88",1727357,I,,,Common stock,,
"1,750","565,775",1418091,D,32.1,D,Common Stock,S,12/20/2019
"6,800","766,166",1651561,I,43.14,D,Common Stock,S,12/18/2019
"1,200","764,966",1651561,I,43.78,D,Common Stock,S,12/18/2019
,"846,302",1651561,D,,,Common Stock,,
,"10,000",1651561,I,,,Common Stock,,
,"10,000",1651561,I,,,Common Stock,,
"6,800","770,456",1651561,D,43.14,D,Common Stock,S,12/18/2019
"1,200","769,256",1651561,D,43.78,D,Common Stock,S,12/18/2019
,"842,012",1651561,I,,,Common Stock,,
,"10,000",1651561,I,,,Common Stock,,
,"10,000",1651561,I,,,Common Stock,,
"25,000","63,701",1447669,I,0,A,Class A Common Stock,C,12/18/2019
"9,838","53,863",1447669,I,98.293,D,Class A Common Stock,S,12/18/2019
"13,941","39,922",1447669,I,99.121,D,Class A Common Stock,S,12/18/2019
"1,221","38,701",1447669,I,99.7238,D,Class A Common Stock,S,12/18/2019
,"133,659",1447669,D,,,Class A Common Stock,,
"58,140","238,351",1671976,D,0,A,Common Stock,A,12/18/2019
500,0,1010506,D,13.1772,D,Common Stock,S,12/19/2019
800,0,1010506,D,8.6647,D,Common Stock,S,12/19/2019
300,0,1010506,D,11.4894,D,Common Stock,S,12/19/2019
500,0,1010506,D,13.4994,D,Common Stock,S,12/19/2019
400,0,1010506,D,11.0268,D,Common Stock,S,12/19/2019
"8,979","356,827.75",92230,D,0,A,Common Stock,G,12/18/2019
"8,979","56,131.28",92230,I,0,D,Common Stock,G,12/18/2019
,"9,801.61",92230,I,,,Common Stock,,
,"106,707.45",92230,I,,,Common Stock,,
10.6883,"17,725.83",1642221,D,43.758,A,Common Stock,A,12/20/2019
,"4,476.80",1642221,I,,,Common Stock,,
"3,587","17,983",876378,I,1.39,D,Common Stock,S,12/19/2019
"6,015","11,968",876378,I,1.44,D,Common Stock,S,12/19/2019
,"18,134",876378,I,,,Common Stock,,
,"131,102",876378,I,,,Common Stock,,
,"1,568",876378,D,,,Common Stock,,
100,0,1010506,D,20.983,D,Common Stock,S,12/19/2019
"6,578","6,578",1630472,D,0,A,Common Stock,A,12/18/2019
"146,198","381,966",1630472,D,0,A,Common Stock,A,12/18/2019
"64,571","446,537",1630472,D,0,A,Common Stock,A,12/18/2019
"23,014","23,014",1630472,D,0,A,Common Stock,A,12/18/2019
"19,980","44,908",1630472,D,0,A,Common Stock,A,12/18/2019
"9,746","22,551",1630472,D,0,A,Common Stock,A,12/18/2019
"43,859","105,207",1630472,D,0,A,Common Stock,A,12/18/2019
"23,014","23,014",1630472,D,0,A,Common Stock,A,12/18/2019
"23,438","80,372",1281774,D,0,A,,A,12/13/2019
"1,952","12,142.51",737758,D,0,A,Common Stock,A,12/18/2019
598,"11,544.51",737758,D,75.75,D,Common Stock,F,12/18/2019
,"10,524.03",737758,I,,,Common Stock,,
"1,830","24,125",737758,D,0,A,Common Stock,A,12/18/2019
560,"23,565",737758,D,75.75,D,Common Stock,F,12/18/2019
,"2,723.03",737758,I,,,Common Stock,,
,"4,837.58",737758,D,,,Performance Share Units,,
"10,619","20,301.34",737758,D,0,A,Common Stock,A,12/18/2019
"4,843","15,458.34",737758,D,75.75,D,Common Stock,F,12/18/2019
,"30,184",737758,I,,,Common Stock,,
,"19,816",737758,I,,,Common Stock,,
,716.027,737758,I,,,Common Stock,,
,"83,841.54",737758,D,,,Performance Share Units,,
"34,787","81,753.79",737758,D,0,A,Performance Share Units,A,12/18/2019
,"7,906.46",737758,D,,,Common Stock,,
,"16,254.31",737758,I,,,Common Stock,,
,"1,827.09",737758,D,,,Common Stock,,
,"4,812.44",737758,I,,,Common Stock,,
,"1,932.90",737758,D,,,Common Stock,,
,"2,023.00",737758,I,,,Common Stock,,
"3,783","14,796",737758,D,0,A,Common Stock,A,12/18/2019
"1,379","13,417",737758,D,75.75,D,Common Stock,F,12/18/2019
,"8,376.16",737758,I,,,Common Stock,,
,"33,557.97",737758,I,,,Common Stock,,
,"22,935.39",737758,D,,,Performance Share Units,,
"2,929","6,516.86",737758,D,0,A,Performance Share Units,A,12/18/2019
